N�MERO_PEDIDO;QUANTIDADE_ENCOMENDADA; PRE�O_CADA ;N�MERO_LINHA_ORDEM; VENDA ;DATA_PEDIDO;STATUS;LINHA_PRODUTO;NOME_CLIENTE;ENDERE�O;CIDADE;PAIS;CONTATO_SOBRENOME;CONTATO_NOME;TAMANHO_NEG�CIO
10103;26; $207,87 ;11; $5.404,62 ;29/01/2018;Shipped;Classic Cars;Baane Mini Imports;Erling Skakkes gate 78;Stavern;Norway;Bergulfsen;Jonas;Medium
10112;29; $248,59 ;1; $7.209,11 ;24/03/2018;Shipped;Classic Cars;Volvo Model Replicas, Co;Berguvsvgen  8;Lule;Sweden;Berglund;Christina;Large
10126;38; $192,87 ;11; $7.329,06 ;28/05/2018;Shipped;Classic Cars;Corrida Auto Replicas, Ltd;C/ Araquil, 67;Madrid;Spain;Sommer;Mart¡n;Large
10140;37; $199,30 ;11; $7.374,10 ;24/07/2018;Shipped;Classic Cars;Technics Stores Inc.;9408 Furth Circle;Burlingame;USA;Hirano;Juri;Large
10150;45; $244,30 ;8; $10.993,50 ;19/09/2018;Shipped;Classic Cars;Dragon Souveniers, Ltd.;Bronz Sok., Bronz Apt. 3/6 Tesvikiye;Singapore;Singapore;Natividad;Eric;Large
10163;21; $231,44 ;1; $4.860,24 ;20/10/2018;Shipped;Classic Cars;Classic Legends Inc.;5905 Pompton St.;NYC;USA;Hernandez;Maria;Medium
10174;34; $235,73 ;4; $8.014,82 ;06/11/2018;Shipped;Classic Cars;Australian Gift Network, Co;31 Duncan St. West End;South Brisbane;Australia;Calaghan;Tony;Large
10183;23; $233,59 ;8; $5.372,57 ;13/11/2018;Shipped;Classic Cars;Classic Gift Ideas, Inc;782 First Street;Philadelphia;USA;Cervantes;Francisca;Medium
10194;42; $173,58 ;11; $7.290,36 ;25/11/2018;Shipped;Classic Cars;Saveley & Henriot, Co.;2, rue du Commerce;Lyon;France;Saveley;Mary;Large
10206;47; $192,87 ;6; $9.064,89 ;05/12/2018;Shipped;Classic Cars;Canadian Gift Exchange Network;1900 Oak St.;Vancouver;Canada;Tannamuri;Yoshi;Large
10215;35; $173,58 ;3; $6.075,30 ;29/01/2019;Shipped;Classic Cars;West Coast Collectables Co.;3675 Furth Circle;Burbank;USA;Thompson;Steve;Medium
10228;29; $222,87 ;2; $6.463,23 ;10/03/2019;Shipped;Classic Cars;Cambridge Collectables Co.;4658 Baden Av.;Cambridge;USA;Tseng;Kyung;Medium
10245;34; $180,01 ;9; $6.120,34 ;04/05/2019;Shipped;Classic Cars;Super Scale Inc.;567 North Pendale Street;New Haven;USA;Murphy;Leslie;Medium
10258;32; $240,02 ;6; $7.680,64 ;15/06/2019;Shipped;Classic Cars;Tokyo Collectables, Ltd;2-2-8 Roppongi;Minato-ku;Japan;Shimamura;Akiko;Large
10270;21; $233,59 ;9; $4.905,39 ;19/07/2019;Shipped;Classic Cars;Souveniers And Things Co.;Monitor Money Building, 815 Pacific Hwy;Chatswood;Australia;Huxley;Adrian;Medium
10280;34; $235,73 ;2; $8.014,82 ;17/08/2019;Shipped;Classic Cars;Amica Models & Co.;Via Monte Bianco 34;Torino;Italy;Accorti;Paolo;Large
10291;37; $192,87 ;11; $7.136,19 ;08/09/2019;Shipped;Classic Cars;Scandinavian Gift Ideas;?kergatan 24;Boras;Sweden;Larsson;Maria;Large
10304;47; $216,44 ;6; $10.172,70 ;11/10/2019;Shipped;Classic Cars;Auto Assoc. & Cie.;67, avenue de l'Europe;Versailles;France;Tonini;Daniel;Large
10312;48; $242,16 ;3; $11.623,70 ;21/10/2019;Shipped;Classic Cars;Mini Gifts Distributors Ltd.;5677 Strong St.;San Rafael;USA;Nelson;Valarie;Large
10322;40; $150,01 ;1; $6.000,40 ;04/11/2019;Shipped;Classic Cars;Online Diecast Creations Co.;2304 Long Airport Avenue;Nashua;USA;Young;Valarie;Medium
10347;30; $131,49 ;1; $3.944,70 ;29/11/2019;Shipped;Classic Cars;Australian Collectors, Co.;636 St Kilda Road;Melbourne;Australia;Ferguson;Peter;Medium
10357;32; $177,87 ;10; $5.691,84 ;10/12/2019;Shipped;Classic Cars;Mini Gifts Distributors Ltd.;5677 Strong St.;San Rafael;USA;Nelson;Valarie;Medium
10369;41; $110,12 ;2; $4.514,92 ;20/01/2020;Shipped;Classic Cars;Collectables For Less Inc.;7825 Douglas Av.;Brickhaven;USA;Nelson;Allen;Medium
10391;24; $100,69 ;4; $2.416,56 ;09/03/2020;Shipped;Classic Cars;Anna's Decorations, Ltd;201 Miller Street;North Sydney;Australia;O'Hara;Anna;Small
10411;23; $180,01 ;9; $4.140,23 ;01/05/2020;Shipped;Classic Cars;Quebec Home Shopping Network;43 rue St. Laurent;Montreal;Canada;Fresnisre;Jean;Medium
10424;50; $240,02 ;6; $12.001,00 ;31/05/2020;In Process;Classic Cars;Euro Shopping Channel;C/ Moralzarzal, 86;Madrid;Spain;Freyre;Diego;Large
10107;39; $99,91 ;5; $3.896,49 ;24/02/2018;Shipped;Motorcycles;Land of Toys Inc.;897 Long Airport Avenue;NYC;USA;Yu;Kwai;Medium
10120;29; $96,34 ;3; $2.793,86 ;29/04/2018;Shipped;Motorcycles;Australian Collectors, Co.;636 St Kilda Road;Melbourne;Australia;Ferguson;Peter;Small
10134;27; $122,51 ;5; $3.307,77 ;01/07/2018;Shipped;Motorcycles;Lyon Souveniers;27 rue du Colonel Pierre Avia;Paris;France;Da Cunha;Daniel;Medium
10145;37; $140,35 ;9; $5.192,95 ;25/08/2018;Shipped;Motorcycles;Toys4GrownUps.com;78934 Hillside Dr.;Pasadena;USA;Young;Julie;Medium
10168;27; $135,59 ;4; $3.660,93 ;28/10/2018;Shipped;Motorcycles;Technics Stores Inc.;9408 Furth Circle;Burlingame;USA;Hirano;Juri;Medium
10180;42; $111,80 ;12; $4.695,60 ;11/11/2018;Shipped;Motorcycles;Daedalus Designs Imports;184, chausse de Tournai;Lille;France;Rance;Martine;Medium
10188;38; $96,34 ;4; $3.660,92 ;18/11/2018;Shipped;Motorcycles;Herkku Gifts;Drammen 121, PR 744 Sentrum;Bergen;Norway;Oeztan;Veysel;Medium
10210;23; $130,83 ;2; $3.009,09 ;12/01/2019;Shipped;Motorcycles;Osaka Souveniers Co.;Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku;Osaka;Japan;Kentary;Mory;Medium
10223;47; $115,37 ;4; $5.422,39 ;20/02/2019;Shipped;Motorcycles;Australian Collectors, Co.;636 St Kilda Road;Melbourne;Australia;Ferguson;Peter;Medium
10236;22; $129,64 ;1; $2.852,08 ;03/04/2019;Shipped;Motorcycles;Motor Mint Distributors Inc.;11328 Douglas Av.;Philadelphia;USA;Hernandez;Rosa;Small
10251;44; $130,83 ;5; $5.756,52 ;18/05/2019;Shipped;Motorcycles;Tekni Collectables Inc.;7476 Moss Rd.;Newark;USA;Brown;William;Medium
10263;40; $111,80 ;5; $4.472,00 ;28/06/2019;Shipped;Motorcycles;Gift Depot Inc.;25593 South Bay Ln.;Bridgewater;USA;King;Julie;Medium
10275;22; $132,02 ;4; $2.904,44 ;23/07/2019;Shipped;Motorcycles;La Rochelle Gifts;67, rue des Cinquante Otages;Nantes;France;Labrune;Janine;Small
10285;47; $137,97 ;9; $6.484,59 ;27/08/2019;Shipped;Motorcycles;Marta's Replicas Co.;39323 Spinnaker Dr.;Cambridge;USA;Hernandez;Marta;Medium
10298;39; $96,34 ;1; $3.757,26 ;27/09/2019;Shipped;Motorcycles;Atelier graphique;54, rue Royale;Nantes;France;Schmitt;Carine;Medium
10308;34; $118,94 ;2; $4.043,96 ;15/10/2019;Shipped;Motorcycles;Mini Classics;3758 North Pendale Street;White Plains;USA;Frick;Steve;Medium
10318;45; $123,70 ;4; $5.566,50 ;02/11/2019;Shipped;Motorcycles;Diecast Classics Inc.;7586 Pompton St.;Allentown;USA;Yu;Kyung;Medium
10329;20; $158,80 ;2; $3.176,00 ;15/11/2019;Shipped;Motorcycles;Land of Toys Inc.;897 Long Airport Avenue;NYC;USA;Yu;Kwai;Medium
10339;40; $68,92 ;4; $2.756,80 ;23/11/2019;Shipped;Motorcycles;Tokyo Collectables, Ltd;2-2-8 Roppongi;Minato-ku;Japan;Shimamura;Akiko;Small
10361;26; $51,15 ;8; $1.329,90 ;17/12/2019;Shipped;Motorcycles;Souveniers And Things Co.;Monitor Money Building, 815 Pacific Hwy;Chatswood;Australia;Huxley;Adrian;Small
10374;39; $135,59 ;5; $5.288,01 ;02/02/2020;Shipped;Motorcycles;Australian Gift Network, Co;31 Duncan St. West End;South Brisbane;Australia;Calaghan;Tony;Medium
10388;50; $44,51 ;5; $2.225,50 ;03/03/2020;Shipped;Motorcycles;FunGiftIdeas.com;1785 First Street;New Bedford;USA;Benitez;Violeta;Small
10402;45; $129,64 ;1; $5.833,80 ;07/04/2020;Shipped;Motorcycles;Auto Canal Petit;25, rue Lauriston;Paris;France;Perrier;Dominique;Medium
10417;45; $130,83 ;5; $5.887,35 ;13/05/2020;Disputed;Motorcycles;Euro Shopping Channel;C/ Moralzarzal, 86;Madrid;Spain;Freyre;Diego;Medium
10107;27; $224,65 ;4; $6.065,55 ;24/02/2018;Shipped;Motorcycles;Land of Toys Inc.;897 Long Airport Avenue;NYC;USA;Yu;Kwai;Medium
10120;46; $201,41 ;2; $9.264,86 ;29/04/2018;Shipped;Motorcycles;Australian Collectors, Co.;636 St Kilda Road;Melbourne;Australia;Ferguson;Peter;Large
10134;31; $226,58 ;4; $7.023,98 ;01/07/2018;Shipped;Motorcycles;Lyon Souveniers;27 rue du Colonel Pierre Avia;Paris;France;Da Cunha;Daniel;Large
10145;33; $156,86 ;8; $5.176,38 ;25/08/2018;Shipped;Motorcycles;Toys4GrownUps.com;78934 Hillside Dr.;Pasadena;USA;Young;Julie;Medium
10168;20; $209,15 ;3; $4.183,00 ;28/10/2018;Shipped;Motorcycles;Technics Stores Inc.;9408 Furth Circle;Burlingame;USA;Hirano;Juri;Medium
10180;41; $216,90 ;11; $8.892,90 ;11/11/2018;Shipped;Motorcycles;Daedalus Designs Imports;184, chausse de Tournai;Lille;France;Rance;Martine;Large
10188;45; $193,66 ;3; $8.714,70 ;18/11/2018;Shipped;Motorcycles;Herkku Gifts;Drammen 121, PR 744 Sentrum;Bergen;Norway;Oeztan;Veysel;Large
10210;34; $180,10 ;1; $6.123,40 ;12/01/2019;Shipped;Motorcycles;Osaka Souveniers Co.;Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku;Osaka;Japan;Kentary;Mory;Medium
10223;49; $199,47 ;3; $9.774,03 ;20/02/2019;Shipped;Motorcycles;Australian Collectors, Co.;636 St Kilda Road;Melbourne;Australia;Ferguson;Peter;Large
10237;39; $180,10 ;9; $7.023,90 ;05/04/2019;Shipped;Motorcycles;Vitachrome Inc.;2678 Kingston Rd.;NYC;USA;Frick;Michael;Large
10251;43; $164,61 ;4; $7.078,23 ;18/05/2019;Shipped;Motorcycles;Tekni Collectables Inc.;7476 Moss Rd.;Newark;USA;Brown;William;Large
10263;41; $203,34 ;4; $8.336,94 ;28/06/2019;Shipped;Motorcycles;Gift Depot Inc.;25593 South Bay Ln.;Bridgewater;USA;King;Julie;Large
10275;36; $191,72 ;3; $6.901,92 ;23/07/2019;Shipped;Motorcycles;La Rochelle Gifts;67, rue des Cinquante Otages;Nantes;France;Labrune;Janine;Medium
10285;27; $201,41 ;8; $5.438,07 ;27/08/2019;Shipped;Motorcycles;Marta's Replicas Co.;39323 Spinnaker Dr.;Cambridge;USA;Hernandez;Marta;Medium
10299;29; $230,46 ;11; $6.683,34 ;30/09/2019;Shipped;Motorcycles;Toys of Finland, Co.;Keskuskatu 45;Helsinki;Finland;Karttunen;Matti;Medium
10308;20; $228,52 ;1; $4.570,40 ;15/10/2019;Shipped;Motorcycles;Mini Classics;3758 North Pendale Street;White Plains;USA;Frick;Steve;Medium
10318;37; $207,22 ;3; $7.667,14 ;02/11/2019;Shipped;Motorcycles;Diecast Classics Inc.;7586 Pompton St.;Allentown;USA;Yu;Kyung;Large
10329;26; $225,70 ;3; $5.868,20 ;15/11/2019;Shipped;Motorcycles;Land of Toys Inc.;897 Long Airport Avenue;NYC;USA;Yu;Kwai;Medium
10339;39; $76,67 ;3; $2.990,13 ;23/11/2019;Shipped;Motorcycles;Tokyo Collectables, Ltd;2-2-8 Roppongi;Minato-ku;Japan;Shimamura;Akiko;Small
10362;22; $166,55 ;4; $3.664,10 ;05/01/2020;Shipped;Motorcycles;Technics Stores Inc.;9408 Furth Circle;Burlingame;USA;Hirano;Juri;Medium
10374;22; $174,29 ;1; $3.834,38 ;02/02/2020;Shipped;Motorcycles;Australian Gift Network, Co;31 Duncan St. West End;South Brisbane;Australia;Calaghan;Tony;Medium
10388;21; $86,77 ;7; $1.822,17 ;03/03/2020;Shipped;Motorcycles;FunGiftIdeas.com;1785 First Street;New Bedford;USA;Benitez;Violeta;Small
10403;66; $180,10 ;9; $11.886,60 ;08/04/2020;Shipped;Motorcycles;UK Collectables, Ltd.;Berkeley Gardens 12  Brewery;Liverpool;UK;Devon;Elizabeth;Large
10417;56; $164,61 ;4; $9.218,16 ;13/05/2020;Disputed;Motorcycles;Euro Shopping Channel;C/ Moralzarzal, 86;Madrid;Spain;Freyre;Diego;Large
10105;50; $144,16 ;2; $7.208,00 ;11/02/2018;Shipped;Classic Cars;Danish Wholesale Imports;Vinb'ltet 34;Kobenhavn;Denmark;Petersen;Jytte;Large
10119;46; $108,80 ;11; $5.004,80 ;28/04/2018;Shipped;Classic Cars;Salzburg Collectables;Geislweg 14;Salzburg;Austria;Pipps;Georg;Medium
10129;33; $133,28 ;2; $4.398,24 ;12/06/2018;Shipped;Classic Cars;Stylish Desk Decors, Co.;35 King George;London;UK;Brown;Ann;Medium
10143;49; $114,24 ;15; $5.597,76 ;10/08/2018;Shipped;Classic Cars;Mini Creations Ltd.;4575 Hillside Dr.;New Bedford;USA;Tam;Wing C;Medium
10155;32; $141,44 ;13; $4.526,08 ;06/10/2018;Shipped;Classic Cars;Toys of Finland, Co.;Keskuskatu 45;Helsinki;Finland;Karttunen;Matti;Medium
10167;44; $134,64 ;9; $5.924,16 ;23/10/2018;Cancelled;Classic Cars;Scandinavian Gift Ideas;?kergatan 24;Boras;Sweden;Larsson;Maria;Medium
10178;24; $145,52 ;12; $3.492,48 ;08/11/2018;Shipped;Classic Cars;Alpha Cognac;1 rue Alsace-Lorraine;Toulouse;France;Roulet;Annette;Medium
10186;26; $148,24 ;9; $3.854,24 ;14/11/2018;Shipped;Classic Cars;Double Decker Gift Stores, Ltd;120 Hanover Sq.;London;UK;Hardy;Thomas;Medium
10197;45; $118,32 ;6; $5.324,40 ;26/11/2018;Shipped;Classic Cars;Enaco Distributors;Rambla de Catalu¤a, 23;Barcelona;Spain;Saavedra;Eduardo;Medium
10222;49; $122,40 ;12; $5.997,60 ;19/02/2019;Shipped;Classic Cars;Collectable Mini Designs Co.;361 Furth Circle;San Diego;USA;Thompson;Valarie;Medium
10248;20; $145,52 ;3; $2.910,40 ;07/05/2019;Cancelled;Classic Cars;Land of Toys Inc.;897 Long Airport Avenue;NYC;USA;Yu;Kwai;Small
10261;27; $125,12 ;1; $3.378,24 ;17/06/2019;Shipped;Classic Cars;Quebec Home Shopping Network;43 rue St. Laurent;Montreal;Canada;Fresnisre;Jean;Medium
10273;30; $116,96 ;4; $3.508,80 ;21/07/2019;Shipped;Classic Cars;Petit Auto;Rue Joseph-Bens 532;Bruxelles;Belgium;Dewey;Catherine;Medium
10283;25; $119,68 ;6; $2.992,00 ;20/08/2019;Shipped;Classic Cars;Royal Canadian Collectables, Ltd.;23 Tsawassen Blvd.;Tsawassen;Canada;Lincoln;Elizabeth;Small
10295;24; $142,80 ;1; $3.427,20 ;10/09/2019;Shipped;Classic Cars;Gifts4AllAges.com;8616 Spinnaker Dr.;Boston;USA;Yoshido;Juri;Medium
10307;22; $122,40 ;9; $2.692,80 ;14/10/2019;Shipped;Classic Cars;Classic Gift Ideas, Inc;782 First Street;Philadelphia;USA;Cervantes;Francisca;Small
10316;33; $125,12 ;17; $4.128,96 ;01/11/2019;Shipped;Classic Cars;giftsbymail.co.uk;Garden House Crowther Way;Cowes;UK;Bennett;Helen;Medium
10325;47; $64,93 ;6; $3.051,71 ;05/11/2019;Shipped;Classic Cars;Baane Mini Imports;Erling Skakkes gate 78;Stavern;Norway;Bergulfsen;Jonas;Medium
10337;25; $48,05 ;8; $1.201,25 ;21/11/2019;Shipped;Classic Cars;Classic Legends Inc.;5905 Pompton St.;NYC;USA;Hernandez;Maria;Small
10350;26; $75,47 ;5; $1.962,22 ;02/12/2019;Shipped;Classic Cars;Euro Shopping Channel;C/ Moralzarzal, 86;Madrid;Spain;Freyre;Diego;Small
10359;48; $54,68 ;6; $2.624,64 ;15/12/2019;Shipped;Classic Cars;Reims Collectables;59 rue de l'Abbaye;Reims;France;Henriot;Paul;Small
10373;39; $103,75 ;3; $4.046,25 ;31/01/2020;Shipped;Classic Cars;Oulu Toy Supplies, Inc.;Torikatu 38;Oulu;Finland;Koskitalo;Pirkko;Medium
10395;32; $105,33 ;2; $3.370,56 ;17/03/2020;Shipped;Classic Cars;Lyon Souveniers;27 rue du Colonel Pierre Avia;Paris;France;Da Cunha;Daniel;Medium
10400;64; $150,96 ;9; $9.661,44 ;01/04/2020;Shipped;Classic Cars;The Sharp Gifts Warehouse;3086 Ingle Ln.;San Jose;USA;Frick;Sue;Large
10414;19; $145,52 ;3; $2.764,88 ;06/05/2020;On Hold;Classic Cars;Gifts4AllAges.com;8616 Spinnaker Dr.;Boston;USA;Yoshido;Juri;Small
10103;42; $128,53 ;4; $5.398,26 ;29/01/2018;Shipped;Classic Cars;Baane Mini Imports;Erling Skakkes gate 78;Stavern;Norway;Bergulfsen;Jonas;Medium
10114;31; $138,88 ;8; $4.305,28 ;01/04/2018;Shipped;Classic Cars;La Corne D'abondance, Co.;265, boulevard Charonne;Paris;France;Bertrand;Marie;Medium
10126;22; $152,17 ;4; $3.347,74 ;28/05/2018;Shipped;Classic Cars;Corrida Auto Replicas, Ltd;C/ Araquil, 67;Madrid;Spain;Sommer;Mart¡n;Medium
10140;26; $122,62 ;4; $3.188,12 ;24/07/2018;Shipped;Classic Cars;Technics Stores Inc.;9408 Furth Circle;Burlingame;USA;Hirano;Juri;Medium
10150;20; $159,56 ;1; $3.191,20 ;19/09/2018;Shipped;Classic Cars;Dragon Souveniers, Ltd.;Bronz Sok., Bronz Apt. 3/6 Tesvikiye;Singapore;Singapore;Natividad;Eric;Medium
10164;21; $168,42 ;2; $3.536,82 ;21/10/2018;Resolved;Classic Cars;Mini Auto Werke;Kirchgasse 6;Graz;Austria;Mendel;Roland;Medium
10175;33; $162,51 ;9; $5.362,83 ;06/11/2018;Shipped;Classic Cars;Stylish Desk Decors, Co.;35 King George;London;UK;Brown;Ann;Medium
10183;28; $122,62 ;1; $3.433,36 ;13/11/2018;Shipped;Classic Cars;Classic Gift Ideas, Inc;782 First Street;Philadelphia;USA;Cervantes;Francisca;Medium
10194;26; $163,99 ;4; $4.263,74 ;25/11/2018;Shipped;Classic Cars;Saveley & Henriot, Co.;2, rue du Commerce;Lyon;France;Saveley;Mary;Medium
10207;31; $131,49 ;15; $4.076,19 ;09/12/2018;Shipped;Classic Cars;Diecast Collectables;6251 Ingle Ln.;Boston;USA;Franco;Valarie;Medium
10217;48; $146,26 ;4; $7.020,48 ;04/02/2019;Shipped;Classic Cars;Handji Gifts& Co;Village Close - 106 Linden Road Sandown;Singapore;Singapore;Victorino;Wendy;Large
10229;50; $128,53 ;9; $6.426,50 ;11/03/2019;Shipped;Classic Cars;Mini Gifts Distributors Ltd.;5677 Strong St.;San Rafael;USA;Nelson;Valarie;Medium
10245;28; $163,99 ;2; $4.591,72 ;04/05/2019;Shipped;Classic Cars;Super Scale Inc.;567 North Pendale Street;New Haven;USA;Murphy;Leslie;Medium
10259;26; $155,13 ;12; $4.033,38 ;15/06/2019;Shipped;Classic Cars;Handji Gifts& Co;Village Close - 106 Linden Road Sandown;Singapore;Singapore;Victorino;Wendy;Medium
10270;32; $134,44 ;2; $4.302,08 ;19/07/2019;Shipped;Classic Cars;Souveniers And Things Co.;Monitor Money Building, 815 Pacific Hwy;Chatswood;Australia;Huxley;Adrian;Medium
10281;44; $159,56 ;9; $7.020,64 ;19/08/2019;Shipped;Classic Cars;Diecast Classics Inc.;7586 Pompton St.;Allentown;USA;Yu;Kyung;Large
10291;30; $128,53 ;4; $3.855,90 ;08/09/2019;Shipped;Classic Cars;Scandinavian Gift Ideas;?kergatan 24;Boras;Sweden;Larsson;Maria;Medium
10305;38; $175,81 ;13; $6.680,78 ;13/10/2019;Shipped;Classic Cars;Marta's Replicas Co.;39323 Spinnaker Dr.;Cambridge;USA;Hernandez;Marta;Medium
10313;40; $166,95 ;7; $6.678,00 ;22/10/2019;Shipped;Classic Cars;Canadian Gift Exchange Network;1900 Oak St.;Vancouver;Canada;Tannamuri;Yoshi;Medium
10322;46; $61,99 ;8; $2.851,54 ;04/11/2019;Shipped;Classic Cars;Online Diecast Creations Co.;2304 Long Airport Avenue;Nashua;USA;Young;Valarie;Small
10334;26; $122,62 ;2; $3.188,12 ;19/11/2019;On Hold;Classic Cars;Volvo Model Replicas, Co;Berguvsvgen  8;Lule;Sweden;Berglund;Christina;Medium
10347;27; $164,00 ;2; $4.428,00 ;29/11/2019;Shipped;Classic Cars;Australian Collectors, Co.;636 St Kilda Road;Melbourne;Australia;Ferguson;Peter;Medium
10357;43; $134,44 ;9; $5.780,92 ;10/12/2019;Shipped;Classic Cars;Mini Gifts Distributors Ltd.;5677 Strong St.;San Rafael;USA;Nelson;Valarie;Medium
10370;35; $65,63 ;4; $2.297,05 ;20/01/2020;Shipped;Classic Cars;Anna's Decorations, Ltd;201 Miller Street;North Sydney;Australia;O'Hara;Anna;Small
10391;37; $46,90 ;7; $1.735,30 ;09/03/2020;Shipped;Classic Cars;Anna's Decorations, Ltd;201 Miller Street;North Sydney;Australia;O'Hara;Anna;Small
10411;27; $163,99 ;2; $4.427,73 ;01/05/2020;Shipped;Classic Cars;Quebec Home Shopping Network;43 rue St. Laurent;Montreal;Canada;Fresnisre;Jean;Medium
10425;38; $155,13 ;12; $5.894,94 ;31/05/2020;In Process;Classic Cars;La Rochelle Gifts;67, rue des Cinquante Otages;Nantes;France;Labrune;Janine;Medium
10108;33; $159,55 ;6; $5.265,15 ;03/03/2018;Shipped;Classic Cars;Cruz & Sons Co.;15 McCallum Street - NatWest Center #13-03;Makati City;Philippines;Cruz;Arnold;Medium
10122;42; $180,95 ;10; $7.599,90 ;08/05/2018;Shipped;Classic Cars;Marseille Mini Autos;12, rue des Bouchers;Marseille;France;Lebihan;Laurence;Large
10135;42; $190,68 ;7; $8.008,56 ;02/07/2018;Shipped;Classic Cars;Mini Gifts Distributors Ltd.;5677 Strong St.;San Rafael;USA;Nelson;Valarie;Large
10147;48; $192,62 ;7; $9.245,76 ;05/09/2018;Shipped;Classic Cars;Collectables For Less Inc.;7825 Douglas Av.;Brickhaven;USA;Nelson;Allen;Large
10169;30; $167,33 ;2; $5.019,90 ;04/11/2018;Shipped;Classic Cars;Anna's Decorations, Ltd;201 Miller Street;North Sydney;Australia;O'Hara;Anna;Medium
